sentimen	Tweet
1	aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal 
0	hyung kamu kanibal kan ' ' 
1	buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak
-1	kamu ga laku laku unn 
-1	aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada 
0	jajanin aku kak 
-1	iyaaaa kasian donghae nya aku kelelep 
0	ini tiga aku satu aja gapunya ' 
0	hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
1	cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm 
0	'aku di rumah aja' adalah anagram dari 'besok malam minggu'
0	jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k 
-1	aku juga pernah dah kek gitu 2x gaada hasil percumaa
-1	ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
1	cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
1	ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau 
-1	aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii 
-1	kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg 
-1	pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu
1	aku nk walk in ajelah senang
1	jadilah seperti aku
1	sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat 
0	aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a 
-1	gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
1	temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
1	hahaa aku juga ga ngerti tadi tp asal jwb aja
1	kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men 
-1	yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu 
1	aku terhibur hahahahahahahahahahahaha
0	kamu juga kan 
0	x de adab betul budak ni pinjam buku aku 
1	okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber 
-1	makin lama rasa apebende laa aku melalut ni i better stop 
1	iya lucu emang dia aku temenan di ig
-1	dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak 
-1	member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot 
-1	hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
0	kenapa popular weh sorry aku blur x paham mksd hg 
1	lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki
1	give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov 
0	broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d 
1	kak mau jugaa
0	mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan 
-1	kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
-1	aku tak faham betul lelaki tak suka perempuan pakai makeup 
-1	wasyuu 
1	kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew 
1	aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
1	guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar 
0	ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb 
1	kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt 
-1	at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to 
-1	macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
0	kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa 
1	kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun 
0	karena aku kepo 11 13 20
-1	aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin 
-1	her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
0	berarti aku bener dong jawab cowok dapet 2jt nggak nih 
0	tls followan ama aku yukk rep rt kita temenan
-1	14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat
-1	terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan 
-1	back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i 
-1	masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
-1	kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1	iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk
1	buat dong aku kan juga istrinya daniel 
-1	kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai 
1	hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
-1	sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss
0	antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki 
0	lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk 
0	ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana 
1	guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa 
-1	sudah waktunya aku mulai menjalani hidupku sendiri mello death note 
0	so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei 
-1	nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri 
0	ya allah pengen ngakak goler2 aku sama trit iniiii 
1	tolong la harini je dah banyak sangat ketawa krem perut aku yall
-1	i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me
-1	mu gemes banget adminnya aku ga jadi marah 
0	pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa 
0	siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s 
0	kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka 
1	gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml
1	aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo 
-1	bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt 
-1	keluar airmata jantan aku baca 
-1	siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p 
0	aku tadi nge rt wah wah wah
-1	wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape 
0	sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu 
1	temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
0	antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka 
0	izinkan aku mengupload ini 
-1	aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin 
-1	dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl 
1	bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah 
1	segitu kangennya ya mba sama aku 
0	kamu jangan lupa sholat dzuhurnya
0	life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu 
-1	bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya
1	hidup ini adalah pilihan yang harus kamu pilih
0	tiap salam buat suami aku exo di korea paaak 
-1	laa haha sorry2 akualah paham 
-1	receeehh ah kamu
0	masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap 
-1	sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau 
0	tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l 
1	if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
-1	hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1	mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be 
-1	aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p
-1	kok gitu sama aku
-1	kukira aku introvert ternyata juga pedopil 
0	7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b 
1	sayang lagi sakit jadi aku harus sentiasa ada buat sayangku 
-1	omg kau jgn buat aku g kfc ppagi cmni 
0	mamak ni nak try aku ke apa 
-1	ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan 
0	tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t 
1	i liked a video aku tanya pak jokowi pakai bahasa jawa 
-1	kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada 
0	aku ngatau nih bang definisi berhasil apa nga 
0	sama aku kapan 
0	aku main ww deg degan mulu wkwkwk id kamu apaa 
-1	kayak woojin kesringan barengih dasar anak kembar 
1	okaay nggapapaa aku minta doyoung ajaa makasih yaa 
-1	kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
0	aku jual 
-1	dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat 
0	waw beliin buat aku dong
1	aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat 
1	le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang
-1	tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang
-1	rama gak usah ganggu aku sama karya ya tolong 
-1	jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia 
1	pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
0	amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
0	aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab 
-1	td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk 
1	aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca 
0	sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
0	kamu sudah shalat jum'at belum letsfridaypray
-1	nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk 
-1	rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak 
0	giveaway ina only adakah yg masih nungguin wdtv sampai hampir gila kaya aku help dong 1 1 doa boleh sekalian 
0	semoga kamu jadi salah satu dari 3ahabat yang beruntung dapetin pulsa 50k ya jangan lupa like dan ajak 3 teman kamu unt 
-1	sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
1	jika aku jadi ratumu maka pasti kau rajanya ya kan 
0	aku baru je tukar tayar depan myvi sepasang rm 450 semalam 
0	hallo td aku berselancar di twt ttg belanja di gmarket gitu trs nemu km pernah beli album di gmarket 
-1	boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr 
-1	orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
-1	aku beria sekalipun bukannya kau nak appreciate 
0	aku nak buat nie ti
0	pipi nya cubit pipi kamu emang mau nya di cium dmn 
-1	aku harap dia tak jual fhone 8 dia semata nak beli xs tu 
0	memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma 
0	kalo aku bacanya sih emang kamu yang ngetik ga jelas wkwkwk
1	aku penggemar mie burung dara enaknya nyambung terus
-1	assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
-1	kalen kalen pada jahad ma aku 
-1	weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk 
-1	lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi 
0	giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga 
1	ni kalau suami aku panggil sayang macam ni we're gonna make babies right after 
0	ngapain kamu 
-1	aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
1	be strong bro 
0	pernah pas masih ngajar privat gt adek kakak muridnya adek aku weekend ini mau ke spore miss pernah ke s 
0	aku dok bayang macam alien keluaq dari dada
1	di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d 
0	adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better 
0	fastga gifwinner palinguka pake banget yang iniiiii yoon as the cutest and mino pampers him 
0	laki pun ada je ayat ni lahai 
0	diam tak berarti kamu kalah kadang itu hanya berarti kamu tak ingin berdebat dng orang yg bahkan menolak tuk mendengarkan 
0	tengok ni 
0	tls followan ama aku yukk rep rt kita temenan
0	isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 6 30am dia yg akan hantar anak2 ke tadika taska but to 
1	cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu 
0	aku ngak haha cuma bawa tas selempang kecil aja udah kemana2 
0	biasanya lewat jalur mana ke arah kampung kamu 
-1	udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati 
1	tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani 
-1	hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
1	let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n 
-1	1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore 
1	ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
0	rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa
0	memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma 
1	kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak 
0	kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
0	ab yg bucin exo mutualan yuu rt rep yaa dn aku ada nya janji follback kenalan ya 
-1	sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm 
1	stay beside you was my job hehee sayang kamu 
0	sebenernya aku gapapa sih which is itu tuh penting bgt kan karena english tuh literally international language tp prefer bah 
-1	dah lah cpk aku
-1	sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
0	benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contohnya kita gagap pas 
0	ga ko aku juga pake bagpack
1	hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu 
0	aku meninggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kau sedekah al 
0	aku ingatkan berhari hari takda data ada la org cari aku dekat ws rupanya takda langsong 
0	baca ni aku tergolong org yg kaya 
1	fams sama aku yuk 
0	hari2 kalau tido brape jam je boleh mati sia otak aku 
0	hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
0	sembang dengan budak legend aku kau belajar kat mana main ml memboi 
-1	aku nangis nih 
0	bts aku sedang sibuk menafkahi keluargaku dan mengejar impianku army aku sedang sibuk menafkahi orang yang sudah je 
1	aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
-1	aku ditusuk dr belakang sakit 
0	askmf ayah aku ayah kan gak suka pedes tp kenapa masakan mama yg pedes tetep ayah makan soalnya mama kamu m 
0	aku tahu kalau check in the girls akan idamkan peluk sambil tido but then tak rasa kebas ke lelaki statik je tido mcm tu na 
0	tahukah kamu 14eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun 1995 oleh p 
0	aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab 
0	nctea selama ini aku cuma tau fotonya jisung aja yg disini dan sekarang udah tau video nya mission complete https 
0	tadi kt dapur nk mkn aku nyanyi la lagu aizat jika ku air wudhukmu menjadi serimu dalam lima waktu mak pun sound da 
-1	selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang 
-1	sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe 
0	aku tambahin deh nih
-1	i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' 
0	aku pernah ketemu lisa blackpink lagi solat di mesjid thailand dia wudhu juga aku liat 
1	wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya 
0	aku macam tahu je siapa bdhshshhs
-1	tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi 
0	kamu akan tanya karena aku pun juga mau tanya 
1	udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti 
0	aku lg baca buku ini yg suka puisi yuk reply halamannya dari 2 sampe 153 nanti aku fotoin rlt 
0	kenapa nama kucing sama denngan nama aku 
1	gilaaa beliin aku dong kak 
0	aku jual yg penting emailnya masih aktif
0	ayo siapa lagi yang mau 
0	freebies alle yuk cari aku di venue dan ikutin rules di gambar ini untuk dapetin freebies idealcutinjkt apinkinjkt 
0	woooojin apaaa jihoon ha
0	kahkah tu lah aku confuse ni hmmm
-1	wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
0	ga yg ini aku masih pilih2 pemenangnyausah komentarnya pada bagus2 jdi bingung pilihnya tunggu sebentar lg okem 
0	bila cg intai kertas exam masa kau buat 
-1	me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak 
-1	gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama 
0	mau acc kamu jadi rame yuk upfoll di aku gt lt harga dan rules bisa cek pinned ya t upfoll rp
-1	yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a 
0	wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh 
1	kalau kamu mau dihormati harus mau menghormati
0	aku daftarr g jfclosedday
-1	makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb 
1	tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
-1	tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya 
1	bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos 
-1	jangan jadi kompor kamu ya jeffan
1	aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k 
1	omg kamu harus melihat ini bigolive 
0	ohh buatpa weh dkt dgn aku dh tuu hahahaha
0	erm macam tautau je apa yang aku perlukan sekarang 
-1	orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
0	my dear followers and friends kalau korang ada buat photoshoot makanan tolong dm aku tolong dm aku price untuk photoshoot fo 
0	boleh mintak dilan satu bila dengar dilan sebut semua ni kan kau takkan rasa geli tau konon mcm nak kata dia jiwang and 
1	jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang 
0	aku naik bas ke bot nii 
0	coba posisinya dituker deh kamu suka makan aku suka masak
0	giveaway diadakan dlm rangka bday guanlin mau tambah tmn monbebe amp nctzen 
-1	minta ais batu je la anjir 
-1	iya sabar aku mah tiap ada jeno selalu melesat mengetag amu 
-1	omg batuk aku berdarah adakah ini jumaat yang terakhir 
0	untung mak aku ada anak yang suka tangkap gambar ni cuba teka umur dia berapa 
